# Downstream regression manifest — tish CONSUMERS built/tested against tish HEAD.
# Columns (TAB-separated): name  source  subdir  kind  cmd  expected
#   source:   git:URL@REF | local:PATH (dev machine only) | self:SUBDIR (a subdir of the tish checkout)
#   kind:     rust (cargo: extension/embedder) | ffi (extern-C extension) | tish (runs .tish programs)
#   expected: pass  = must build+test clean (a failure is a REGRESSION → fails the suite)
#             xfail = known-broken on this branch pending migration (green now; flags if it gets FIXED)
# For `tish` kind the runner builds the HEAD binary, `npm install`s the repo, and overwrites the
# bundled @tishlang/tish binary with HEAD so the repo's OWN test/build harness runs against HEAD.
# Run:  regression/downstream/run.sh all          # local: everything below
#       regression/downstream/run.sh --git-only   # CI: only git:/self: sources (local: skipped)
#
# ── ffi: extern-C extensions — the C-ABI is stable, so these MUST keep working ──
ffi-mathext	self:examples/ffi/mathext	.	ffi	cargo build --release	pass
ffi-statext	self:examples/ffi/statext	.	ffi	cargo build --release	pass
tish-unity	local:~/Projects/tish/tish-unity/native/tish_unity_bridge	.	ffi	cargo build --release	pass
#
# ── cargo: Rust extensions/embedders — the NativeFn→Callable / String→ArcStr / PropMap migration ──
# These were xfail while that migration was in flight. As of this run they build AND `cargo test`
# clean against HEAD, so they are flipped to pass (`cargo test`, not `cargo check`, to validate full
# codegen+link, not just type-check). NOTE: only tish-callbacks ships behavioral tests (3, passing);
# tish-stripe/cedar/biscuit/webauthn/brainstorm-pg have no test fns, so for them `cargo test` is a
# build/codegen guard. tish-oidc + tish-polars are still genuinely broken (kept xfail). tish-pg is a
# local path absent on this machine (skips). tish-apple-common is CONFIRMED CLEAN (pass below); its
# tish-macos/tish-ios crates are macOS-only + heavy Value-use, not Linux-checkable — but note Cargo
# still loads EVERY workspace member's manifest to check one package, so a broken sibling-repo path
# dep in tish-macos takes the whole row down regardless (fixed in tishlang/tish-apple#6).
# The package is `tishlang_apple_common`; `crates/tish-apple-common` is only the directory name.
tish-pg	local:~/Projects/tish-pg	.	rust	cargo test --no-run	xfail
tish-callbacks	local:~/Projects/tish/tish-callbacks	.	rust	cargo test	pass
tish-oidc	local:~/Projects/tish/tish-oidc	.	rust	cargo check	xfail
tish-stripe	local:~/Projects/tish/tish-stripe	.	rust	cargo test	pass
tish-cedar	local:~/Projects/tish/tish-cedar	.	rust	cargo test	pass
tish-biscuit	local:~/Projects/tish/tish-biscuit	.	rust	cargo test	pass
tish-webauthn	local:~/Projects/tish/tish-webauthn	.	rust	cargo test	pass
